Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,TISSUE,REPLICATE
SRR10352237,RNA-Seq,300,2960909100,PRJNA579844,SAMN13134455,Model organism or animal,1363268180,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B to A,SRX7061943,NextSeq 500,6105b,Sample_4190_6150b_primary_bud_primaryBud_stageD_early_gonads_naive_approx6months,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:59:00Z,1,Sample_4190_6150b_primary_bud_primaryBud_stageD_early_gonads_naive_approx6months,not applicable,SRP227136,whole system,
SRR10352238,RNA-Seq,300,5223888600,PRJNA579844,SAMN13134454,Model organism or animal,2437625048,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B5-B6,SRX7061942,NextSeq 500,6208t,Sample_4184_6208t_primary_bud_stageC2_possibleTestesInBuds_approx6months_naive,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:03:00Z,1,Sample_4184_6208t_primary_bud_stageC2_possibleTestesInBuds_approx6months_naive,not applicable,SRP227136,whole system,
SRR10352239,RNA-Seq,300,2825441700,PRJNA579844,SAMN13134451,Model organism or animal,1343282495,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B3-B3/b3-b4,SRX7061941,NextSeq 500,5869 settlement slide-3,4041_5869settelmentslide_Primaryandsecbud_stageB1,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:57:00Z,1,4041_5869settelmentslide_Primaryandsecbud_stageB1,not applicable,SRP227136,whole system,
SRR10352240,RNA-Seq,300,2566845900,PRJNA579844,SAMN13134453,Model organism or animal,1203200656,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B5-B6,SRX7061940,NextSeq 500,6101b,Sample_4193_6106b_primary_bud_2primaryBud_stageC_C1C2_gonads_naive_approx6months,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:57:00Z,1,Sample_4193_6106b_primary_bud_2primaryBud_stageC_C1C2_gonads_naive_approx6months,not applicable,SRP227136,whole system,
SRR10352244,RNA-Seq,300,2967522000,PRJNA579844,SAMN13134452,Model organism or animal,1374198509,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B3-B3/b3-b4,SRX7061939,NextSeq 500,944axBYd196.6-4.227,Sample_4129_944axBYd196_6_4_227_primary_secondary_bud_7primaryAndsecondaryBud_stageB_old_14years_naive,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:58:00Z,1,Sample_4129_944axBYd196_6_4_227_primary_secondary_bud_7primaryAndsecondaryBud_stageB_old_14years_naive,not applicable,SRP227136,whole system,
SRR10352245,RNA-Seq,300,2220981600,PRJNA579844,SAMN13134457,Model organism or animal,1181678442,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",A1-A2,SRX7061945,NextSeq 500,Sc109e.109,3868_Sc109e_zooid_buds_intestine_A2_kp,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:56:00Z,1,3868_Sc109e_zooid_buds_intestine_A2_kp,not applicable,SRP227136,whole system,
SRR10352246,RNA-Seq,300,1853648400,PRJNA579844,SAMN13134436,Model organism or animal,561364582,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",b5-b6,SRX7061937,NextSeq 500,6348*,Sample_4355_6348_Settlement_Slide_secondary_bud_4_secondary_bud_stage_C1_C2_naive_121016_sampled__N383Barcode_P80_G8_S78_R1_001,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:55:00Z,1,Sample_4355_6348_Settlement_Slide_secondary_bud_4_secondary_bud_stage_C1_C2_naive_121016_sampled__N383Barcode_P80_G8_S78_R1_001,not applicable,SRP227136,whole system,Replicate 2
SRR10352247,RNA-Seq,300,291467700,PRJNA579844,SAMN13134435,Model organism or animal,129515640,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",b5-b6,SRX7061936,NextSeq 500,6348*,Sample_4355_6348_Settlement_Slide_secondary_bud_4_secondary_bud_stage_C1_C2_naive_121016_sampled__N383Barcode_P39_D3_S38_R1_001,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:53:00Z,1,Sample_4355_6348_Settlement_Slide_secondary_bud_4_secondary_bud_stage_C1_C2_naive_121016_sampled__N383Barcode_P39_D3_S38_R1_001,not applicable,SRP227136,whole system,Replicate 1
SRR10352251,RNA-Seq,300,3688220400,PRJNA579844,SAMN13134438,Model organism or animal,1892043825,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",b5-b6,SRX7061985,NextSeq 500,5869 settlement slide-5,4033_5869setelmentslide_stageC2_4secondarybuds,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:00:00Z,1,4033_5869setelmentslide_stageC2_4secondarybuds,not applicable,SRP227136,whole system,
SRR10352252,RNA-Seq,300,6056760300,PRJNA579844,SAMN13134440,Model organism or animal,3263959923,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B to B,SRX7061987,NextSeq 500,Sc109e.113,3887_Sc109e_Sec_Bud_D_mid_late_kp,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:06:00Z,1,3887_Sc109e_Sec_Bud_D_mid_late_kp,not applicable,SRP227136,whole system,
SRR10352254,RNA-Seq,300,5482368900,PRJNA579844,SAMN13134462,Model organism or animal,2984116333,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",TO,SRX7061960,NextSeq 500,Sc109e.113,3890_Sc109e_old_zooid_D_mid_Late_kp,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:03:00Z,1,3890_Sc109e_old_zooid_D_mid_Late_kp,not applicable,SRP227136,whole system,
SRR10352257,RNA-Seq,300,66618600,PRJNA579844,SAMN13134444,Model organism or animal,30093691,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B1-B2/b1-b2,SRX7061992,NextSeq 500,6089e,Sample_4111_4_6089_e_primary_bud_1PrimaryBud_stageA2_naive_young_2weeks,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:52:00Z,1,Sample_4111_4_6089_e_primary_bud_1PrimaryBud_stageA2_naive_young_2weeks,not applicable,SRP227136,whole system,Replicate 2
SRR10352258,RNA-Seq,300,3829989600,PRJNA579844,SAMN13134450,Model organism or animal,1776749350,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B3-B3/b3-b4,SRX7061998,NextSeq 500,6208b.2,Sample_4171_6208b_2_primary_secondary_bud_stageB_B1B2_approx5months_naive,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:00:00Z,1,Sample_4171_6208b_2_primary_secondary_bud_stageB_B1B2_approx5months_naive,not applicable,SRP227136,whole system,
SRR10352273,RNA-Seq,202,10676450834,PRJNA579844,SAMN13134448,Model organism or animal,7152645304,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B1-B2/b1-b2,SRX7061996,NextSeq 500,L11HMBY15 x Sc6a-b-40.1,HISeq-Sample_3434_IL2577-7,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:13:00Z,1,HISeq-Sample_3434_IL2577-7,not applicable,SRP227136,whole system,
SRR10352277,RNA-Seq,300,11893113900,PRJNA579844,SAMN13134442,Model organism or animal,5500931971,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B to B,SRX7061990,NextSeq 500,944axBYd196.6-4.231,Sample_4144_944axBYd196_6_4_231_secondary_bud_5secondaryBud_stageD_midLate_old_14years_naive,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:15:00Z,1,Sample_4144_944axBYd196_6_4_231_secondary_bud_5secondaryBud_stageD_midLate_old_14years_naive,not applicable,SRP227136,whole system,
